Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	22.273743	13.015587	100.0	9.0	22.273743	-0.26251402	0.065916464	-0.012148671	-0.4348333	4000	1.502037e-08	304.1753	-0.01753942	-161.78293	0.6888094	0.0074741347	0.14125	79.0	1.3613896369934082
1	27.496552	14.803133	82.0	9.0	27.496552	7.9300995	0.28701198	8.435835	5.481219	8000	1.0633469e-07	187.06903	-0.016653761	-60.72899	0.68906325	0.004214745	0.06225	79.0	1.929342269897461
2	36.336365	21.434584	120.0	10.0	36.336365	12.986723	1.7835114	13.894609	-5.7905865	12000	8.940697e-09	259.37213	-0.015734984	-54.869003	0.67639273	0.01554013	0.19675	18.0	2.3869662284851074
3	54.054054	34.741474	200.0	10.0	54.054054	18.25902	1.270841	18.785183	-3.108397	16000	2.18153e-08	490.3702	-0.016860893	-101.30652	0.6487173	0.007187926	0.05475	79.0	2.967144012451172
4	66.666664	39.4418	173.0	14.0	66.666664	24.748985	1.6119854	25.199142	-11.239794	20000	-2.5272369e-08	485.5022	-0.0107257515	-75.638916	0.6318357	0.01541642	0.11225	12.0	3.4035537242889404
5	81.8125	47.095055	200.0	13.0	81.8125	27.678116	8.180605	30.709211	-24.481283	24000	3.4213066e-08	519.1809	-0.017615624	-111.92258	0.62859887	0.015383329	0.17825	8.0	3.827690362930298
6	155.36	44.84362	200.0	45.0	155.36	35.210426	4.213821	36.64707	-14.112714	28000	-4.2915346e-08	793.2135	-0.005167376	-246.9339	0.6227509	0.002754135	0.02175	79.0	4.397233724594116
7	152.03847	45.65294	200.0	37.0	152.03847	40.927174	8.701748	45.039627	-4.049919	32000	4.2915342e-09	589.34186	-0.006520677	-95.532196	0.6099228	0.0035333496	0.02075	79.0	4.9816977977752686
8	164.04167	46.680187	200.0	22.0	164.04167	46.170837	6.064254	49.49973	9.706194	36000	-5.9604643e-10	494.5469	-0.006324468	-131.24551	0.5996951	0.00601292	0.04375	79.0	5.542876958847046
9	166.34782	41.11131	200.0	29.0	166.34782	46.34711	11.081745	54.379406	6.0029063	40000	-4.768372e-10	334.41782	-0.0055453964	-82.12688	0.60643107	0.0040185945	0.01875	79.0	6.133892059326172
10	178.77272	29.20917	200.0	97.0	178.77272	51.936012	11.999848	58.83501	3.1937633	44000	1.6689301e-09	373.3134	-0.0026091058	-80.09326	0.58893067	0.0038045873	0.01675	79.0	6.696597099304199
11	189.61905	32.79732	200.0	48.0	189.61905	52.275433	12.977809	61.901794	9.032016	48000	8.5830685e-09	392.36856	-0.0028155223	-48.551056	0.5866057	0.0027093077	0.01725	79.0	7.300847053527832
12	190.42857	31.469667	200.0	64.0	190.42857	55.75226	11.891756	64.21904	15.544496	52000	9.536743e-09	437.44803	-0.0022163924	-24.450775	0.57289886	0.0038916566	0.01275	79.0	7.86133599281311
13	200.0	0.0	200.0	200.0	200.0	54.952316	10.866979	65.093414	15.06909	56000	2.002716e-08	462.03165	-0.0021492548	-75.339386	0.56458193	0.0009505006	0.0315	79.0	8.418623447418213
14	200.0	0.0	200.0	200.0	200.0	56.4981	10.616252	66.79235	26.110056	60000	-1.1444092e-08	409.53607	-0.002852809	-47.864594	0.56934905	0.004977493	0.04625	79.0	8.990297794342041
15	199.65	1.5256147	200.0	193.0	199.65	56.402836	11.858598	68.95346	23.894907	64000	-3.8146974e-09	367.14786	-0.004750906	-152.11942	0.5666118	0.005507069	0.076	79.0	9.56490445137024
16	191.65	23.965132	200.0	98.0	191.65	50.35528	19.542686	71.16471	2.2825677	68000	-1.26361845e-08	247.19617	-0.002650422	-41.38623	0.5662765	0.0015373831	0.03125	79.0	10.128087282180786
17	198.35	6.7474065	200.0	169.0	198.35	56.02898	16.996752	73.267235	7.746939	72000	-8.106232e-09	177.06615	-0.0026016012	-34.183807	0.56495106	0.0029644265	0.0175	79.0	10.688114166259766
18	195.9	12.31625	200.0	157.0	195.9	60.434258	17.226252	74.62648	8.560382	76000	-2.861023e-09	283.12057	-0.004297685	-44.214157	0.55394703	0.005360596	0.042	79.0	11.26592230796814
19	198.0	8.717798	200.0	160.0	198.0	55.484886	18.015688	74.1482	14.012441	80000	-1.3351441e-08	295.56918	-0.0025504057	-43.373474	0.55588096	0.0018583857	0.021	79.0	11.843073606491089
20	199.15	3.7050638	200.0	183.0	199.15	56.616238	16.472054	75.24458	17.200499	84000	2.861023e-09	285.5207	-0.002562786	-51.023727	0.55170506	0.0027451606	0.0435	79.0	12.411360025405884
21	197.5	7.9151754	200.0	167.0	197.5	51.01529	19.900211	75.44034	15.893987	88000	-4.7683715e-09	247.48657	-0.0037177363	-75.6734	0.56498	0.0040018097	0.02675	79.0	12.990720272064209
22	194.45	17.042522	200.0	133.0	194.45	59.92632	17.198858	77.361115	7.577661	92000	-5.722046e-09	262.57886	-0.0021971497	-50.888306	0.54945606	0.0037202083	0.03025	79.0	13.562585592269897
23	200.0	0.0	200.0	200.0	200.0	57.169212	16.752409	76.989525	21.337791	96000	3.8146974e-09	281.73862	-0.0030452814	-24.707214	0.53290576	0.00471642	0.02875	79.0	14.151197910308838
