Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-239.32875	114.79673	17.469912	-487.46765	88.244446	-0.08627221	0.033547867	0.09689453	-0.2567696	4000	5.8174134e-08	44015.066	-0.0098677175	-1553.0117	1.3501041	0.01390206	0.1995	79.0	1.6811466217041016
1	-169.30006	91.000984	-59.158024	-419.71512	80.63265	-4.1736326	0.5678642	2.0351593	-4.588533	8000	5.066395e-08	23012.678	-0.007747657	-931.3008	1.3598726	0.008535887	0.10025	79.0	2.4124841690063477
2	-141.74957	90.81226	28.355232	-535.0233	84.914894	-7.797995	0.32377717	-1.6479061	-7.9416237	12000	-1.9192695e-08	17771.658	-0.008431165	-571.96875	1.3379016	0.00876711	0.067	79.0	3.134915351867676
3	-134.71979	58.631447	11.273691	-304.60748	90.568184	-10.4853945	0.122021295	-8.04547	-10.566655	16000	9.536744e-10	12079.122	-0.012423891	-475.0918	1.3371334	0.008952099	0.12125	79.0	3.862302303314209
4	-114.826164	53.498318	-0.6740785	-277.13583	90.93023	-12.92899	0.1594435	-10.200674	-12.987886	20000	-3.862381e-08	8983.896	-0.010966318	-332.28125	1.3497493	0.011503794	0.07725	79.0	4.630799293518066
5	-93.983154	50.55671	24.08475	-313.9827	90.545456	-15.035868	0.06256125	-14.039576	-15.0789795	24000	-3.6597253e-08	5824.7905	-0.012602781	-197.19629	1.351669	0.010817855	0.12225	79.0	5.3738319873809814
6	-108.93375	71.51559	5.7773924	-332.96326	102.051285	-16.707617	0.14052877	-14.6927	-16.75127	28000	2.002716e-08	8971.39	-0.009206874	-281.3994	1.3462085	0.005948212	0.05825	79.0	6.127904176712036
7	-104.038315	68.33268	-2.3500743	-300.20706	105.26316	-18.719336	0.03627766	-18.228273	-18.74689	32000	2.3961068e-08	7836.6343	-0.010817545	-239.21094	1.3338654	0.011587306	0.139	79.0	6.913136720657349
8	-110.50516	51.510193	-38.81417	-238.20564	117.90909	-20.639801	0.018935513	-20.34908	-20.662954	36000	7.1167946e-08	6286.687	-0.009150876	-262.61816	1.3022528	0.009634006	0.1155	79.0	7.6905694007873535
9	-96.254036	80.23373	26.15156	-313.5352	117.757576	-22.65866	0.16443238	-18.046005	-22.690165	40000	-1.0251999e-08	8365.332	-0.0069354773	-209.24268	1.2690868	0.005934744	0.02825	79.0	8.517181634902954
10	-93.67103	69.274055	-8.962442	-260.28275	141.25	-24.524511	0.058530923	-23.267855	-24.545607	44000	-1.3768673e-08	5741.462	-0.008378406	-174.69092	1.2710406	0.010051239	0.03775	79.0	9.33553171157837
11	-63.887283	69.33737	6.8596377	-313.3245	150.65384	-26.257282	0.047070432	-25.009762	-26.276514	48000	-1.2159347e-08	3580.904	-0.00975593	-62.77295	1.245657	0.006148161	0.05525	79.0	10.185162782669067
12	-88.06602	83.97792	26.980742	-267.17383	166.95653	-27.359447	0.029100936	-26.571001	-27.37654	52000	-1.6510487e-08	6242.384	-0.008105034	-128.96631	1.2140887	0.006542294	0.06	79.0	11.037604331970215
13	-45.08469	61.189487	23.411057	-246.99435	164.33333	-28.88238	0.028145263	-28.599377	-28.902126	56000	4.6491624e-09	3049.8174	-0.0091464985	-31.599365	1.1896882	0.00665664	0.04275	79.0	11.931182861328125
14	-22.099264	64.18292	81.83193	-144.57565	296.46155	-29.597578	0.44544408	-26.786459	-29.73971	60000	-8.46386e-09	1954.0653	-0.005639279	-7.48938	1.2162069	0.009734482	0.08825	79.0	13.389537572860718
15	-20.677105	46.477093	33.011265	-208.22607	158.16	-30.049454	0.043868966	-29.599823	-30.077618	64000	-9.000301e-09	2317.567	-0.012491744	-5.145752	1.1781576	0.011135548	0.14275	79.0	14.271961212158203
16	-35.28056	46.914474	27.18579	-125.95267	244.625	-30.186836	1.0581989	-19.865479	-30.39327	68000	-4.172325e-09	1935.8805	-0.009219555	-14.734741	1.1704434	0.012284682	0.05475	79.0	15.422842502593994
17	-78.145485	108.7539	78.119095	-370.76233	277.42856	-30.693514	1.0798637	-14.150475	-30.951075	72000	-1.6272068e-08	9351.884	-0.010836932	-220.10156	1.1730171	0.012467845	0.10325	79.0	16.666978120803833
18	-24.347075	72.54113	103.13164	-169.48381	358.18182	-33.05503	0.16748199	-28.56422	-33.1036	76000	1.090765e-08	3496.2703	-0.007409702	-17.838135	1.1725768	0.006912864	0.0535	79.0	18.37977933883667
19	17.671495	56.75741	132.933	-49.314735	312.58334	-33.797546	0.05378498	-33.436367	-33.81701	80000	1.4185906e-08	2105.8452	-0.007987423	-15.591553	1.1266221	0.0077953506	0.06075	79.0	20.02759289741516
