Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	StacGradNorm	VanillaGradNorm	ImplicitGradNorm	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	21.26738	12.469563	91.0	9.0	21.26738	-0.15334955	0.03393233	0.016134568	-0.21860324	4000	0.1964565	0.1964565	0.10247328	0.011952239	281.32657	0.0	-207.63858	0.68447524	-8.642673e-10	1.2384717464447021
1	21.111702	10.882509	72.0	9.0	21.111702	13.032086	5.280147	19.391373	1.9700272	8000	0.25256106	0.25256106	0.2407415	0.010128127	54.02177	0.0	-4.6827545	0.68728566	4.768372e-10	1.7067162990570068
2	23.215117	13.363661	99.0	9.0	23.215117	13.037665	5.252698	19.399208	1.6583858	12000	0.21761438	0.21761438	0.25322053	-0.00043310368	79.85233	0.0	-7.8632584	0.6898221	2.9802324e-11	2.1600968837738037
3	22.727272	12.481101	101.0	8.0	22.727272	14.057608	6.1313143	21.441704	1.2721493	16000	0.19504817	0.19504817	0.17348321	-0.0060457936	65.98776	0.0	-1.7757416	0.69064516	-2.9802324e-11	2.6097826957702637
4	23.14535	11.624294	81.0	9.0	23.14535	13.887689	6.012112	21.062119	1.2633314	20000	0.23895949	0.23895949	0.22202228	-0.00819214	51.09387	0.0	-1.7360535	0.69100916	-2.2351742e-11	3.0604708194732666
5	24.54088	12.37554	79.0	8.0	24.54088	13.438429	6.0574775	23.658022	1.050444	24000	0.18780808	0.18780808	0.23060967	-0.013152663	83.42858	0.0	-6.415001	0.69050115	1.5646219e-10	3.5531342029571533
6	26.79054	16.573444	86.0	9.0	26.79054	14.472115	6.473537	28.92177	0.10143405	28000	0.15970296	0.15970296	0.15247442	-0.017143684	106.82884	0.0	-7.967972	0.68948597	-8.642673e-10	3.9979820251464844
7	24.236364	13.712145	114.0	9.0	24.236364	16.133959	6.967741	24.659973	0.6075358	32000	0.18170118	0.18170118	0.1454012	-0.021513408	83.144104	0.0	-5.228035	0.68829066	-5.5134297e-10	4.445431470870972
8	26.838926	13.575573	74.0	9.0	26.838926	14.65262	6.1807947	21.61379	0.18625519	36000	0.16030526	0.16030526	0.1750179	-0.022627117	70.238785	0.0	-2.319725	0.6871255	1.3038516e-09	4.890803813934326
9	27.6875	17.972769	139.0	9.0	27.6875	15.517563	6.4729137	24.216045	0.30795988	40000	0.16030368	0.16030368	0.15412085	-0.02414865	137.45856	0.0	-16.42321	0.6856658	-4.61936e-10	5.334709167480469
10	26.791946	15.242239	82.0	10.0	26.791946	16.810434	7.220002	27.902227	-0.78244364	44000	0.18038124	0.18038124	0.17127556	-0.029649375	78.918564	0.0	-4.71476	0.68403417	0.0	5.804717063903809
11	31.63492	20.467398	122.0	9.0	31.63492	16.913864	7.3436794	29.811659	-0.62114906	48000	0.14346766	0.14346766	0.14913113	-0.025304075	155.12126	0.0	-5.0563507	0.6828777	-8.9406965e-10	6.250725030899048
12	32.447155	19.059685	108.0	10.0	32.447155	16.949703	7.7841125	29.639282	-0.17990586	52000	0.15917219	0.15917219	0.15136401	-0.029730732	129.76959	0.0	-16.168465	0.6825254	-1.4156103e-10	6.694554805755615
13	28.514286	17.216888	92.0	9.0	28.514286	18.587156	8.2384	27.120562	0.211416	56000	0.17893013	0.17893013	0.13829488	-0.036627267	108.80618	0.0	-8.112198	0.6791334	-1.1771918e-09	7.139575719833374
14	33.863247	18.615273	96.0	9.0	33.863247	17.84401	7.1457863	26.256279	0.04343316	60000	0.1733197	0.1733197	0.17471799	-0.036342468	109.60847	0.0	-4.5119324	0.67878765	-3.874302e-10	7.592367887496948
15	31.887096	18.02606	91.0	9.0	31.887096	18.851353	8.298563	27.977846	-0.068264306	64000	0.14816709	0.14816709	0.15721893	-0.03600041	108.093956	0.0	-2.4332428	0.6763439	2.9057265e-10	8.043475151062012
16	31.72	20.230116	144.0	10.0	31.72	19.249847	7.6897492	27.752712	-0.43211645	68000	0.15181914	0.15181914	0.14607045	-0.03751149	132.2897	0.0	-4.689041	0.67512906	4.3213366e-10	8.487629413604736
17	32.808334	19.917452	152.0	11.0	32.808334	18.386753	8.5961	31.786007	-0.049633145	72000	0.13639776	0.13639776	0.14423662	-0.036502432	138.2325	0.0	-5.472229	0.6729605	-1.5646219e-10	8.93914270401001
