Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	StacGradNorm	VanillaGradNorm	ImplicitGradNorm	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-186.34113	112.35825	-8.821951	-484.60336	94.54762	0.26410553	0.04420407	0.3485931	0.13795686	4000	0.030343557	0.030343557	0.003442688	0.0020898124	13686.976	0.0	-9642.543	1.385024	5.960465e-11	1.6213250160217285
1	-197.26686	124.381256	-53.554546	-531.86285	88.65909	-97.66889	3.271348	-43.073532	-98.80794	8000	0.04255287	0.04255287	0.04274269	0.0015944026	4391.2563	0.0	-1071.4553	1.3851206	1.2516975e-09	2.337465286254883
2	-176.4792	99.82352	-48.09014	-381.99728	92.62791	-101.64494	20.274641	-90.478035	-150.43715	12000	0.044943612	0.044943612	0.048614647	-0.00011339027	2355.7915	0.0	-39.01001	1.3852693	2.9802324e-11	3.027249813079834
3	-174.47755	105.44917	37.553402	-432.76865	90.790695	-103.15965	23.711584	-88.92267	-159.08586	16000	0.04884181	0.04884181	0.047120422	-0.00039424002	2489.1907	0.0	-228.60815	1.3852681	-1.4305115e-09	3.7724597454071045
4	-191.54982	122.55778	-26.298635	-604.10034	91.69768	-98.42655	26.26712	-82.178986	-165.15227	20000	0.040725242	0.040725242	0.039786518	-0.0018383584	4332.0703	0.0	-137.49365	1.3851846	-6.854534e-10	4.476923227310181
5	-161.64801	79.75661	-56.965866	-381.22513	93.88095	-110.96005	23.842567	-95.76117	-173.5518	24000	0.06424492	0.06424492	0.06294032	0.0015216549	2035.9856	0.0	-810.1837	1.3852763	-6.2584876e-10	5.180401086807251
6	-195.45694	109.653496	-12.57702	-476.63022	87.77778	-86.49712	20.583975	-68.518776	-160.5897	28000	0.046809502	0.046809502	0.049074948	0.00030034018	3269.476	0.0	-686.5735	1.3850889	2.1457671e-09	5.879496097564697
7	-158.48753	100.16984	17.530748	-504.5354	89.11364	-114.0555	30.671951	-85.19535	-211.73671	32000	0.06299894	0.06299894	0.058800872	0.00049588596	3275.996	0.0	-1166.5974	1.3852359	3.2782554e-10	6.593535900115967
8	-195.44902	114.45574	38.222946	-504.6104	92.209305	-78.61953	30.39229	-53.554283	-203.59268	36000	0.04440346	0.04440346	0.044148333	0.00041879225	3610.9326	0.0	-1148.023	1.3851978	1.3113022e-09	7.3040077686309814
9	-175.63982	101.2567	15.714179	-475.02878	91.83721	-120.72539	51.368427	-88.981705	-256.83868	40000	0.08853635	0.08853635	0.08806343	-0.00025364684	2539.4465	0.0	-1170.6881	1.3853053	1.013279e-09	7.981252670288086
