Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	StacGradNorm	VanillaGradNorm	ImplicitGradNorm	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-494.25	11.37706	-466.0	-500.0	494.5	-0.0684039	0.08029432	0.063992344	-0.27263814	4000	0.028336594	0.028336594	0.0003455613	-0.000109343055	6933.116	0.0	-6597.1167	1.077636	2.861023e-09	1.6360430717468262
1	-488.0	31.749016	-404.0	-500.0	488.125	-80.300995	18.088268	41.243847	-94.20323	8000	0.044159498	0.044159498	0.005424344	0.0010582976	349.30078	0.0	-83.675385	1.0782689	-5.364418e-10	2.2683987617492676
2	-495.375	12.2366	-463.0	-500.0	495.5	-87.74272	13.182669	-18.762901	-97.33645	12000	0.054276258	0.054276258	0.005222803	-0.0071867434	432.0752	0.0	-104.50647	1.0776117	-6.4074995e-10	2.906304121017456
3	-439.55554	61.08484	-319.0	-500.0	440.1111	-79.75646	19.546965	15.913099	-97.68596	16000	0.06770468	0.06770468	0.006156288	-0.004729775	414.9457	0.0	-92.42435	1.0770059	-1.0281801e-09	3.5498340129852295
4	-477.625	59.198685	-321.0	-500.0	477.75	-76.17283	16.09942	-11.998899	-95.29835	20000	0.045047764	0.045047764	0.0064782677	-0.0050849584	470.24686	0.0	-118.59424	1.0769162	-7.599592e-10	4.196813583374023
5	-499.625	0.99215674	-497.0	-500.0	499.75	-74.67589	15.641615	-24.427734	-95.82338	24000	0.074917994	0.074917994	0.008355868	-0.00019215966	408.92258	0.0	-96.18173	1.0749291	-2.2351741e-10	4.855902671813965
6	-477.5	39.0	-407.0	-500.0	477.75	-84.05159	12.707761	-31.208412	-98.85962	28000	0.06949719	0.06949719	0.009454056	-0.0039223707	326.6479	0.0	-116.229416	1.0752187	-1.4901161e-10	5.487032651901245
7	-473.625	34.981915	-413.0	-500.0	474.0	-83.45846	17.443764	-10.599682	-98.193756	32000	0.09030189	0.09030189	0.011807396	-0.0134043135	210.83762	0.0	-68.21344	1.0746255	1.7881394e-10	6.110164403915405
8	-445.0	46.89616	-375.0	-500.0	445.625	-81.74067	21.320293	-5.544802	-97.05451	36000	0.07734267	0.07734267	0.0073898644	-0.008143862	329.88873	0.0	-80.628204	1.0732133	-1.6838312e-09	6.747920036315918
9	-454.0	38.861935	-390.0	-500.0	454.75	-73.327	21.142355	5.476346	-94.70355	40000	0.1258545	0.1258545	0.012529817	-0.008692396	193.52283	0.0	-78.47752	1.0701388	3.5762787e-10	7.373654365539551
10	-418.77777	76.835724	-311.0	-500.0	419.33334	-74.71329	25.832865	16.628826	-98.066216	44000	0.101386264	0.101386264	0.014257348	-0.0069156177	202.57884	0.0	-84.800575	1.0689578	7.4505804e-11	8.016023874282837
11	-370.9	100.04144	-214.0	-500.0	371.6	-82.03909	18.998295	-7.812041	-97.06848	48000	0.09201786	0.09201786	0.010647986	-0.0015336613	257.91196	0.0	-118.99388	1.0666136	-5.811453e-10	8.654256343841553
12	-398.8	80.26182	-305.0	-500.0	399.5	-76.2664	24.664194	6.403018	-95.46294	52000	0.10895763	0.10895763	0.0115043195	-0.014381984	163.99242	0.0	-59.611374	1.0648303	9.536744e-10	9.300405740737915
13	-398.2	85.95673	-195.0	-500.0	399.0	-72.166954	22.570082	0.20267487	-95.63303	56000	0.17577846	0.17577846	0.01960648	-0.017138407	238.02931	0.0	-60.55786	1.0593208	-1.9222497e-09	9.936851024627686
14	-342.54544	78.24596	-252.0	-480.0	343.54544	-70.6945	25.24436	19.482435	-96.452965	60000	0.102168635	0.102168635	0.015247802	-0.011680202	199.58458	0.0	-69.291626	1.0569	2.4586917e-09	10.580227136611938
15	-383.5	88.82708	-249.0	-500.0	384.3	-73.23347	23.285656	-5.8261895	-95.177284	64000	0.11063508	0.11063508	0.04189618	-0.0017211173	296.85962	0.0	-105.64572	1.052576	-7.0035455e-10	11.233957767486572
16	-345.81818	111.21545	-172.0	-500.0	346.63635	-80.01572	19.10475	-4.71401	-98.20241	68000	0.15444273	0.15444273	0.022079265	-0.030826604	273.2555	0.0	-90.08327	1.0492723	-1.9818545e-09	11.871827125549316
17	-352.63635	75.960846	-213.0	-500.0	353.54544	-74.88392	21.37425	7.0794816	-95.24263	72000	0.14662108	0.14662108	0.022432894	-0.03462189	214.90532	0.0	-46.63617	1.0432827	1.7881393e-09	12.509536504745483
18	-339.0909	125.1773	-177.0	-500.0	339.9091	-69.80187	24.58407	21.221476	-96.160164	76000	0.0831001	0.0831001	0.023195587	-0.005808823	348.00848	0.0	-95.800354	1.0439726	-1.3411044e-10	13.143205642700195
19	-282.53845	59.30445	-200.0	-391.0	283.53845	-74.34513	19.711832	1.9336123	-95.09923	80000	0.08258328	0.08258328	0.015045376	-0.030611806	244.67134	0.0	-98.38153	1.0372134	2.2947788e-09	13.778711318969727
20	-276.57144	63.903625	-187.0	-409.0	277.57144	-71.05116	20.490723	4.4496374	-92.49846	84000	0.16292048	0.16292048	0.052662462	-0.045520093	230.4389	0.0	-106.34735	1.0355136	-1.0430813e-10	14.422237634658813
21	-293.69232	59.33527	-206.0	-411.0	294.69232	-66.10747	23.862354	10.124131	-91.89528	88000	0.11147849	0.11147849	0.011831341	-0.038617074	142.84639	0.0	-53.78901	1.0314437	1.8626451e-09	15.066971063613892
22	-248.5	45.122055	-201.0	-344.0	249.5	-68.977	23.019781	0.6093955	-92.02903	92000	0.11304471	0.11304471	0.015932215	-0.032803755	234.73131	0.0	-79.15115	1.0264992	-6.556511e-10	15.708789587020874
23	-253.13333	108.202194	-130.0	-500.0	254.0	-61.35265	24.638803	2.8524976	-88.39394	96000	0.112621	0.112621	0.01834084	-0.036760446	588.7875	0.0	-274.8405	1.0212362	4.917383e-10	16.355685710906982
24	-245.0625	53.488865	-185.0	-373.0	246.0625	-62.253147	21.969624	5.4071555	-89.35872	100000	0.071631275	0.071631275	0.023218803	-0.020603683	267.44482	0.0	-91.49992	1.0140644	1.8924475e-09	16.988770246505737
