Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	StacGradNorm	VanillaGradNorm	ImplicitGradNorm	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	20.619791	9.697843	56.0	8.0	20.619791	-0.15532969	0.03441008	0.013072193	-0.22161454	4000	0.17500325	0.17500325	0.055197522	0.010501177	215.46092	0.0	-171.69618	0.68424124	-2.5331975e-10	1.2378630638122559
1	20.448454	9.784794	69.0	8.0	20.448454	11.954569	4.6643815	17.293648	2.2282214	8000	0.26807967	0.26807967	0.26421687	0.010696106	45.469902	0.0	-4.9105453	0.6870216	-5.5134297e-10	1.6980769634246826
2	24.066265	12.196748	75.0	9.0	24.066265	12.578857	5.005957	20.703846	0.44952857	12000	0.20928076	0.20928076	0.06071955	-7.090291e-05	66.82233	0.0	-11.2859535	0.6896402	1.1175871e-09	2.140885591506958
3	22.460674	11.185923	72.0	8.0	22.460674	13.628429	5.729581	20.737867	0.94247764	16000	0.2200389	0.2200389	0.2132971	-0.004307161	52.35503	0.0	-3.5764885	0.6905431	4.4703483e-10	2.5817315578460693
4	23.544378	11.565588	76.0	9.0	23.544378	13.286006	5.7616773	19.961418	0.7783544	20000	0.19259137	0.19259137	0.13460219	-0.01098034	56.417362	0.0	-2.1685715	0.69081837	4.3213366e-10	3.033935070037842
5	25.240507	14.769722	109.0	10.0	25.240507	13.72991	5.8949237	21.226017	0.3784191	24000	0.18079627	0.18079627	0.21327288	-0.013194284	85.31118	0.0	-7.0861053	0.69038224	-7.9721213e-10	3.515869379043579
6	24.8875	13.688036	80.0	9.0	24.8875	15.192572	7.1786985	23.706034	0.33933473	28000	0.17028181	0.17028181	0.14614487	-0.016845355	71.034874	0.0	-3.3967361	0.6893725	-8.419156e-10	3.9816157817840576
7	25.967106	16.151999	116.0	9.0	25.967106	14.708959	6.419156	21.800344	0.6233399	32000	0.18880048	0.18880048	0.18708901	-0.019527085	113.13748	0.0	-4.9789124	0.6886515	9.23872e-10	4.420462131500244
8	28.177305	18.201506	138.0	9.0	28.177305	16.277056	6.8608065	24.85313	0.4937582	36000	0.15081084	0.15081084	0.13986568	-0.021391453	130.78308	0.0	-5.2902374	0.6870966	-1.2516975e-09	4.860947608947754
9	26.46	14.958445	89.0	9.0	26.46	16.941668	7.309682	24.619879	0.31831363	40000	0.17796358	0.17796358	0.16371419	-0.025518872	80.597466	0.0	-1.8874588	0.6859834	7.599592e-10	5.3237550258636475
10	29.411764	16.037397	90.0	10.0	29.411764	16.473902	7.0545497	23.71249	0.7270998	44000	0.16368619	0.16368619	0.19179179	-0.026671484	90.51397	0.0	-5.8891907	0.68432695	5.736947e-10	5.7814414501190186
11	28.769785	15.054489	98.0	10.0	28.769785	17.223585	7.3750663	25.696346	0.36389711	48000	0.15459245	0.15459245	0.15005101	-0.02841722	84.629	0.0	-3.6397095	0.6831714	6.3329936e-10	6.23026180267334
12	32.357723	21.061325	130.0	11.0	32.357723	16.763788	6.75757	23.699657	0.1508684	52000	0.14870764	0.14870764	0.19313088	-0.028696919	147.25981	0.0	-10.8828125	0.68223876	4.246831e-10	6.6775877475738525
13	28.37143	15.842233	107.0	11.0	28.37143	18.485918	8.787502	28.172493	0.34478325	56000	0.15307951	0.15307951	0.21573557	-0.03351527	111.80248	0.0	-17.673851	0.67855746	-2.0116568e-10	7.117759704589844
14	31.74603	22.881313	173.0	9.0	31.74603	16.856262	6.6649103	26.862257	-0.06429097	60000	0.1400657	0.1400657	0.11220842	-0.030955222	202.6759	0.0	-26.21402	0.67871004	-9.685754e-10	7.56831693649292
15	33.216667	21.654554	124.0	10.0	33.216667	19.138895	8.663569	29.598333	0.23791301	64000	0.13440798	0.13440798	0.14309216	-0.032894976	162.96222	0.0	-8.820053	0.6775593	2.4586916e-10	8.019338369369507
16	33.66949	21.794128	133.0	10.0	33.66949	20.193897	8.049675	29.6602	0.23931986	68000	0.12336472	0.12336472	0.19724277	-0.031039326	160.64275	0.0	-6.1887817	0.6765135	-5.9604643e-10	8.478102922439575
17	34.042736	18.604473	97.0	11.0	34.042736	19.589296	7.8528724	32.67346	0.4459092	72000	0.14303869	0.14303869	0.1430087	-0.035588138	108.33259	0.0	-2.966385	0.6751249	-1.0430813e-10	8.940515756607056
18	33.462185	18.193539	92.0	11.0	33.462185	19.54005	8.032915	29.491693	0.70748585	76000	0.14977847	0.14977847	0.15767394	-0.037837096	105.46242	0.0	-0.2837906	0.6727778	9.983778e-10	9.391420364379883
