Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	StacGradNorm	VanillaGradNorm	ImplicitGradNorm	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-492.0	15.305228	-455.0	-500.0	492.25	-0.07430966	0.08133486	0.064301275	-0.29416093	4000	0.034389585	0.034389585	0.049212173	0.0013879199	6895.8643	0.0	-6465.008	1.0777758	-3.874302e-10	1.646589756011963
1	-492.0	21.16601	-436.0	-500.0	492.125	-84.76852	9.927478	-9.331392	-94.427086	8000	0.05065408	0.05065408	0.052261334	-0.0011504962	458.38593	0.0	-100.401825	1.0781276	3.5762787e-10	2.2981128692626953
2	-492.75	19.181698	-442.0	-500.0	492.875	-83.90152	12.245193	-24.460182	-97.003494	12000	0.062293407	0.062293407	0.06354487	-0.004225854	396.0317	0.0	-85.79309	1.0777189	5.811453e-10	2.9387705326080322
3	-468.875	55.635956	-348.0	-500.0	469.125	-75.65686	19.025127	23.673756	-97.82759	16000	0.07499338	0.07499338	0.109437004	0.002937121	409.72876	0.0	-107.59494	1.0773224	-1.4007091e-09	3.5804784297943115
4	-491.875	21.496729	-435.0	-500.0	492.0	-84.65091	14.667202	-24.941982	-97.709885	20000	0.058712095	0.058712095	0.07823207	-0.0039169835	409.59213	0.0	-101.53497	1.0772619	-1.5348196e-09	4.249493360519409
5	-444.22223	107.41071	-195.0	-500.0	444.44446	-72.72811	23.217659	19.951094	-99.372475	24000	0.15969041	0.15969041	1.3991195	-0.0034655123	483.5749	0.0	-182.98871	1.0762912	1.0281801e-09	4.916806936264038
6	-426.8889	73.42637	-289.0	-500.0	427.44446	-79.6285	17.223763	-18.456741	-99.19163	28000	0.07278989	0.07278989	0.10533264	0.0019708104	278.74518	0.0	-43.245636	1.0748433	9.0897084e-10	5.548227787017822
7	-453.5	60.827625	-315.0	-500.0	454.125	-75.79636	23.455553	19.810196	-99.807144	32000	0.06830101	0.06830101	0.060979232	-0.00055277994	395.92886	0.0	-168.1469	1.0743072	-4.4703483e-10	6.18483829498291
8	-412.1111	83.460495	-279.0	-500.0	412.66666	-83.29686	15.891965	-1.8775511	-99.858185	36000	0.073995315	0.073995315	0.118306875	-0.005840972	311.86566	0.0	-89.2095	1.0722865	-1.9669533e-09	6.823943138122559
9	-427.33334	99.47864	-233.0	-500.0	427.8889	-75.47449	22.267578	3.4149256	-97.6632	40000	0.08449204	0.08449204	0.053956136	-0.018227402	301.6735	0.0	-84.5755	1.0700767	9.983778e-10	7.479530334472656
10	-428.33334	86.33655	-263.0	-500.0	428.8889	-77.90805	20.072422	-14.561938	-97.200066	44000	0.103464335	0.103464335	0.060130876	-0.014887573	173.07399	0.0	-35.460434	1.0685889	-1.6391277e-10	8.161107778549194
11	-398.0	88.77387	-211.0	-500.0	398.8	-70.66951	22.401426	9.557832	-97.64273	48000	0.15636848	0.15636848	0.1876977	-0.027693791	325.4967	0.0	-56.540405	1.0679178	-5.2154064e-10	8.812759399414062
12	-381.8	72.62066	-281.0	-500.0	382.7	-81.81378	18.496122	-4.3611584	-96.7592	52000	0.10376052	0.10376052	0.08660262	-0.017509777	217.39082	0.0	-100.80464	1.0662183	-1.9818545e-09	9.474284887313843
13	-381.1	85.672	-229.0	-500.0	381.9	-73.739685	22.497492	2.904192	-97.13412	56000	0.16395816	0.16395816	0.17835367	-0.025612209	186.27884	0.0	-36.138855	1.0619421	1.4901161e-10	10.12807321548462
14	-342.63635	86.47046	-197.0	-500.0	343.54544	-75.160126	22.908651	-1.4023314	-96.98093	60000	0.13623822	0.13623822	0.13743402	-0.013097328	223.0266	0.0	-41.948914	1.0558025	4.917383e-10	10.76949405670166
15	-361.72726	76.340256	-228.0	-500.0	362.63635	-71.47744	24.523252	15.261383	-94.99433	64000	0.113415875	0.113415875	0.10284489	-0.00967948	184.07124	0.0	-43.777863	1.0548953	4.0233136e-10	11.417959451675415
16	-273.64285	46.23636	-182.0	-378.0	274.64285	-74.94661	22.650923	-9.335772	-97.49777	68000	0.12921146	0.12921146	0.09267272	-0.009434287	221.11813	0.0	-115.158844	1.0524483	-2.9802322e-10	12.052292585372925
17	-285.92307	59.83755	-205.0	-380.0	286.92307	-63.07199	23.858381	2.649518	-93.13339	72000	0.112147234	0.112147234	0.08575571	-0.009717043	212.86418	0.0	-54.19345	1.0453814	8.493662e-10	12.688867330551147
18	-269.85715	85.28093	-170.0	-500.0	270.7857	-64.7193	25.996178	7.0029097	-95.066696	76000	0.09477018	0.09477018	0.15587208	-0.0019210043	410.09277	0.0	-136.50656	1.0373204	-1.0281801e-09	13.320878028869629
19	-271.57144	51.066788	-164.0	-389.0	272.57144	-68.60773	19.90426	-5.7966676	-90.886894	80000	0.12148793	0.12148793	0.13265924	-0.012737188	176.05878	0.0	-52.267174	1.0400041	-9.536744e-10	13.952260971069336
20	-273.2857	59.451576	-144.0	-386.0	274.2857	-67.58204	22.89922	7.088746	-91.86708	84000	0.1593134	0.1593134	0.11803295	-0.02696466	150.02303	0.0	-24.93634	1.0385106	-1.7732382e-09	14.597378253936768
21	-246.13333	66.945625	-132.0	-364.0	247.13333	-67.42767	22.38242	-3.6865358	-92.14969	88000	0.17819518	0.17819518	0.17488363	-0.031252682	170.11191	0.0	-28.093872	1.0309714	1.1920929e-09	15.253427982330322
22	-224.23529	37.738308	-168.0	-319.0	225.23529	-60.40856	24.19143	1.2842169	-89.241516	92000	0.17044213	0.17044213	0.13073874	-0.033556253	133.62512	0.0	-19.635536	1.024585	-4.4703483e-10	15.892266035079956
23	-240.0625	72.79378	-155.0	-456.0	241.0625	-61.77428	22.357925	-1.0619345	-86.57864	96000	0.16263996	0.16263996	0.14708434	-0.054681834	159.12914	0.0	-30.763245	1.021461	1.3709068e-09	16.52699637413025
24	-221.82353	33.468575	-174.0	-310.0	222.82353	-65.43282	21.687506	-2.5510492	-89.472786	100000	0.108657144	0.108657144	0.10753504	-0.046070293	128.55084	0.0	-45.826546	1.0131862	8.493662e-10	17.171168088912964
25	-218.11111	31.44464	-149.0	-281.0	219.11111	-59.528908	23.533195	1.0480614	-86.85589	104000	0.16987155	0.16987155	0.1725127	-0.041115254	106.05982	0.0	-24.62642	1.0075139	3.5762787e-10	17.8044855594635
26	-179.09091	31.448238	-117.0	-230.0	180.09091	-62.07685	22.548376	1.0152693	-86.82847	108000	0.15808854	0.15808854	0.020871678	-0.04607441	173.20499	0.0	-79.445015	0.9966134	-1.5348196e-09	18.469622135162354
27	-206.10527	82.435234	-126.0	-500.0	207.05263	-50.948627	25.223713	1.7755289	-81.901	112000	0.09286578	0.09286578	0.09417932	-0.02867812	621.7391	0.0	-371.21414	0.9882532	1.1622906e-09	19.13773202896118
28	-192.85	43.504337	-124.0	-304.0	193.85	-58.231	22.102837	9.859482	-84.62854	116000	0.09916018	0.09916018	0.10947681	-0.013642522	174.63432	0.0	-79.145805	0.9870432	1.5348196e-09	19.76996898651123
29	-175.45454	32.183743	-103.0	-229.0	176.45454	-54.72946	22.274506	5.0671835	-84.80663	120000	0.12919146	0.12919146	0.13146113	-0.03363866	118.79928	0.0	-27.752914	0.97811073	1.1473894e-09	20.39992666244507
30	-216.33333	67.56808	-135.0	-434.0	217.33333	-52.16575	24.724823	2.7104244	-81.43327	124000	0.06831495	0.06831495	0.06546077	0.0062250756	476.37726	0.0	-209.60391	0.9642311	-1.385808e-09	21.036304473876953
31	-193.0	29.683329	-137.0	-258.0	194.0	-64.3915	18.987576	-9.820415	-89.09852	128000	0.13503756	0.13503756	0.14769804	-0.05398335	177.99335	0.0	-95.54338	0.97566867	2.30968e-09	21.668723344802856
