Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	StacGradNorm	VanillaGradNorm	ImplicitGradNorm	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-238.85054	120.69169	-3.8175993	-519.57477	88.844444	-0.089431256	0.032633692	0.087995544	-0.26831853	4000	0.077753626	0.077753626	0.0012109715	0.018023662	22036.355	0.0	-18306.043	1.350465	2.0861626e-10	1.5923733711242676
1	-212.68181	120.88223	119.348114	-432.10287	107.4054	-127.822945	15.201971	-119.25692	-155.7836	8000	0.0699204	0.0699204	0.06957498	0.0149537455	6010.708	0.0	-3908.5244	1.3547666	-2.682209e-10	2.602893114089966
2	-228.30194	122.92182	-62.429775	-580.77795	90.181816	-97.31054	43.12593	19.687763	-168.0547	12000	0.10050905	0.10050905	0.0967983	0.014676472	3288.3684	0.0	-1615.2656	1.3528354	1.2814999e-09	3.309340238571167
3	-195.76393	113.810524	-1.3652266	-545.9337	88.04444	-91.147934	37.518562	-29.340645	-185.89983	16000	0.08952434	0.08952434	0.07697732	0.0139358295	2417.022	0.0	-902.7726	1.3550878	-8.3446505e-10	4.05098819732666
4	-206.5066	109.62045	40.331203	-444.66592	84.74468	-97.36778	35.95615	-14.415641	-232.83044	20000	0.113451704	0.113451704	0.07865675	0.020099135	2686.174	0.0	-848.33093	1.3556958	-1.3113022e-09	4.735993385314941
5	-204.96245	129.92398	18.957817	-483.8201	82.125	-101.74094	47.95546	-56.42738	-232.64471	24000	0.09948693	0.09948693	0.09429587	0.015532277	3280.3079	0.0	-540.1289	1.3576925	-1.3411046e-09	5.4170451164245605
6	-210.60385	124.59334	36.637	-518.13934	86.565216	-133.78175	48.529163	-35.423866	-227.99136	28000	0.11877872	0.11877872	0.112189606	0.017499119	2559.5835	0.0	-553.2119	1.3594176	-1.7881394e-10	6.151034116744995
7	-189.19962	112.165436	-25.641071	-457.27808	85.0	-118.67941	48.89355	-76.177124	-265.9552	32000	0.09560334	0.09560334	0.08551491	0.011157536	2275.663	0.0	-698.49255	1.3614392	-4.768372e-10	6.860430002212524
8	-209.85278	122.27345	-7.2090144	-484.00012	87.37778	-109.42047	49.98892	3.9834661	-244.60016	36000	0.08366898	0.08366898	0.073764294	0.0062116315	2922.5452	0.0	-1355.2198	1.3626099	1.4007091e-09	7.569191932678223
9	-209.68134	128.83807	-52.419983	-589.45715	88.68889	-123.731476	51.985664	-44.607513	-262.58636	40000	0.0913851	0.0913851	0.06256978	0.014392545	2678.63	0.0	-1174.5698	1.3630021	-2.3245812e-09	8.259296178817749
10	-194.99672	113.29485	30.40446	-528.32587	88.454544	-130.2417	63.694286	-47.412098	-295.34903	44000	0.12904729	0.12904729	0.12486256	0.015838176	3011.0916	0.0	-1333.8262	1.3644236	-2.9802322e-10	8.943365573883057
11	-199.10202	115.75208	-55.253	-468.16653	83.87234	-105.601875	50.721943	-37.93821	-271.08142	48000	0.08535212	0.08535212	0.0029235394	0.0075558797	1630.6567	0.0	-838.2673	1.3659161	2.682209e-10	9.620730638504028
12	-203.08615	122.829834	-23.423853	-438.01062	88.022224	-99.18399	44.467567	26.016644	-239.75185	52000	0.06929903	0.06929903	0.06318965	0.007132433	2392.748	0.0	-811.57117	1.3669331	7.1525574e-10	10.310307025909424
13	-215.14369	110.62121	40.112953	-432.74203	118.30303	-102.717545	52.0384	4.483102	-246.50427	56000	0.105494566	0.105494566	0.16098031	0.0067994255	3599.2417	0.0	-1527.2593	1.3696618	-1.0430813e-09	11.278433799743652
14	-199.22284	111.667404	-33.889202	-493.9533	91.46512	-120.9537	43.92773	-11.999701	-267.53403	60000	0.057944298	0.057944298	0.05261886	0.0022043332	2617.1062	0.0	-1451.7095	1.3679451	-1.192093e-10	11.956577062606812
